input,output
"Sad / Down: I'm so sad and don't know how to cope","I hear the weight of what you're carrying. Please remember that it's okay to set down that burden sometimes."
"Sad / Down: I feel empty inside. I feel like I'm failing everyone. It feels never-ending","Your feelings matter, and it's important that you're expressing them instead of bottling them up."
"Sad / Down: I can't find a reason to smile, but I'm trying my best","Thank you for being vulnerable. What you're feeling is part of being human, and you're not alone."
"Sad / Down: Nothing makes me happy anymore. I need support","I understand that you're struggling. Remember that it's okay to take things slowly and be gentle with yourself."
"Sad / Down: I don't see the point in trying anymore. I don't want to burden anyone with this","Thank you for sharing how you're feeling. What you're going through sounds really difficult, and it takes courage to acknowledge these emotions."
"Sad / Down: I'm struggling to get through each day. I miss feeling like myself","Thank you for trusting yourself enough to express these feelings. That's an important act of self-care."
"Sad / Down: I'm having trouble seeing the good in anything","I hear you, and I want you to know that feeling down doesn't make you a burden. You matter."
"Sad / Down: I feel empty inside","Your emotions are real and important. It's okay to take the time you need to process how you're feeling."
"Sad / Down: I'm so disappointed in myself, but I'm trying my best. It feels never-ending","What you're experiencing sounds incredibly difficult. Please be patient with yourself as you navigate these feelings."
"Sad / Down: I feel like nobody understands me. I just need someone to understand","I'm sorry things feel so heavy. Remember that you're not alone, and it's okay to reach out for support."
"Sad / Down: I feel so defeated. I just need someone to understand","I hear you, and I want you to know that it's okay to feel sad. Your emotions are valid."
"Sad / Down: I'm feeling really fragile today","Thank you for sharing. Your honesty is a strength, and you're taking important steps toward healing."
"Sad / Down: I feel hopeless about the future, and I don't know how to move forward. I need support","I want you to know that your feelings are real and important. You don't have to go through this alone."
"Sad / Down: I'm feeling really down and don't know why. I just need someone to understand. It feels never-ending","I hear you, and I want you to know that it's okay to feel sad. Your emotions are valid."
"Sad / Down: I don't feel like myself anymore, but I don't know where to turn. It feels never-ending","Thank you for trusting these feelings to words. You're stronger than you know, even in this moment."
"Sad / Down: I'm struggling to find meaning in anything. I don't want to burden anyone with this","Your feelings matter, and it's important that you're expressing them. You're taking an important step by acknowledging how you feel."
"Sad / Down: I feel lost and don't know what to do","I hear you, and your feelings are completely valid. It's okay to feel this way, and you're not alone in this experience."
"Sad / Down: I'm so tired of feeling this way, but I don't know where to turn","I'm sorry you're struggling. Remember that it's okay to ask for support when you need it."
"Sad / Down: I feel like I'm not enough, and I'm running out of energy","Thank you for being vulnerable. What you're feeling is part of being human, and you're not alone."
"Sad / Down: I feel empty inside. I just want to feel okay again","I'm here with you in this moment. Your emotions are valid, and it's okay to feel sad sometimes."
"Sad / Down: I'm drowning in my own thoughts, but I keep putting on a brave face","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
